,Ocupação,Celular,Microcomputador,Internet no Comp,Internet no Celular,3G ou 4G,Banda Larga
66596,Alugado,Sim,Sim,Sim,Sim,Não,Sim
66604,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
66670,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
66673,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
66675,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
66677,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
66681,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
66685,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
66686,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66726,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
66728,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66734,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66743,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66771,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
66787,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
66791,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66793,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
66794,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66795,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
66798,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66812,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
66817,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66821,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66822,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
66825,Alugado,Sim,Sim,Sim,Não,Não,Sim
66828,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66833,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
66834,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
66835,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66863,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66870,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66875,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66877,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
66881,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66883,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66887,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66894,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66899,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66908,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66910,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66916,Próprio-Pago,Sim,Nao,,,,
66918,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66919,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
66921,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66923,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66925,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
66926,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66931,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
66934,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66936,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
66965,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
66980,Próprio-Pago,Sim,Nao,,,,
66998,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
67001,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
67009,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
67029,Próprio-Pago,Sim,Nao,,,,
67072,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
67163,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
67174,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
67392,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
67441,Cedido-Outros,Sim,Sim,Sim,Sim,Não,Sim
67445,Cedido-Outros,Sim,Sim,Não,,,
67460,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
67498,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
67511,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
67524,Alugado,Sim,Sim,Sim,Sim,Não,Sim
67525,Cedido-Outros,Sim,Sim,Sim,Sim,Sim,Não
67538,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
67542,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
67546,Próprio-NPago,Sim,Nao,,Sim,Sim,Sim
67666,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
67678,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
67702,Próprio-Pago,Sim,Nao,,,,
67719,Próprio-Pago,Sim,Sim,Não,,,
67728,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
67835,Próprio-Pago,Sim,Nao,,,,
67933,Alugado,Sim,Nao,,,,
67942,Alugado,Sim,Sim,Sim,Sim,Não,Sim
67985,Alugado,Sim,Sim,Sim,Sim,Não,Sim
67987,Alugado,Sim,Sim,Sim,Sim,Sim,Não
68165,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
68182,Próprio-Pago,Sim,Nao,,,,
68230,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
68362,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
68471,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
68521,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
68646,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
68707,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
68709,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
68711,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
68718,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
68719,Próprio-Pago,Sim,Sim,Não,Sim,Sim,Não
68720,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
69071,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
69226,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
69228,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
69229,Alugado,Sim,Sim,Sim,Não,Sim,Sim
69333,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
69417,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
69438,Alugado,Sim,Sim,Sim,Sim,Não,Sim
69474,Próprio-Pago,Nao,Nao,,,,
69498,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
69551,Cedido-Outros,Sim,Sim,Sim,Sim,Sim,Sim
69623,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
69627,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
69725,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
69740,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
69951,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
70020,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
70025,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
70026,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
70117,Próprio-NPago,Sim,Nao,,Sim,Sim,Não
70169,Próprio-Pago,Sim,Nao,,,,
70247,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
70408,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
70420,Alugado,Sim,Sim,Sim,Sim,Não,Sim
70424,Alugado,Sim,Sim,Sim,Sim,Não,Sim
70425,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
70454,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
70457,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
70492,Próprio-Pago,Sim,Nao,,,,
70534,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
70724,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
70831,Próprio-Pago,Sim,Nao,,,,
70912,Próprio-Pago,Sim,Sim,Não,,,
70949,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
70968,Próprio-Pago,Sim,Nao,,,,
70994,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
71020,Alugado,Sim,Sim,Sim,Sim,Sim,Não
71026,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
71027,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
71053,Alugado,Sim,Sim,Sim,Sim,Não,Sim
71150,Próprio-Pago,Sim,Nao,,,,
71276,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
71674,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
71768,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
71773,Alugado,Sim,Nao,,Sim,Sim,Não
71800,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
71946,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
71974,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
72055,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
72085,Alugado,Sim,Nao,,Sim,Sim,Não
72138,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
72140,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72148,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72179,Alugado,Sim,Nao,,Sim,Sim,Não
72245,Alugado,Sim,Sim,Sim,Sim,Não,Sim
72268,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
72282,Alugado,Sim,Sim,Sim,Sim,Sim,Não
72325,Próprio-Pago,Nao,Nao,,,,
72326,Alugado,Sim,Sim,Sim,Sim,Não,Sim
72329,Alugado,Sim,Sim,Sim,Sim,Não,Sim
72394,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
72405,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
72509,Alugado,Sim,Sim,Sim,Não,Não,Sim
72511,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
72513,Próprio-Pago,Sim,Nao,,,,
72516,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
72518,Alugado,Sim,Sim,Sim,Sim,Não,Sim
72522,Cedido-Outros,Sim,Sim,Sim,Sim,Não,Sim
72531,Alugado,Sim,Sim,Não,Sim,Sim,Não
72539,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72549,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
72552,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72554,Alugado,Nao,Nao,,,,
72557,Próprio-Pago,Sim,Nao,,,,
72562,Próprio-Pago,Sim,Nao,,,,
72568,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72579,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
72586,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72591,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
72592,Alugado,Nao,Nao,,,,
72602,Outra Condição,Sim,Sim,Sim,Sim,Não,Sim
72709,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72712,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72713,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72716,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72719,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72726,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72838,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
72983,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
72996,Próprio-Pago,Sim,Sim,Não,,,
73034,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
73036,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
73038,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
73043,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
73048,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
73069,Próprio-Pago,Sim,Nao,,,,
73163,Próprio-Pago,Sim,Nao,,,,
73399,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
73553,Próprio-Pago,Sim,Nao,,,,
73562,Cedido-Outros,Sim,Sim,Sim,Sim,Sim,Sim
73572,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
73594,Próprio-Pago,Sim,Nao,,,,
73651,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
73658,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
73711,Próprio-Pago,Nao,Nao,,Não,Não,Sim
73728,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
73733,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
73741,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
73888,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
73889,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
73939,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
73960,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
74016,Próprio-NPago,Sim,Sim,Sim,Não,Não,Sim
74108,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74115,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
74138,Próprio-Pago,Sim,Nao,,,,
74148,Próprio-Pago,Sim,Sim,Não,,,
74149,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
74153,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
74155,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74156,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74250,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74336,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
74340,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
74359,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
74417,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74421,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
74483,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74484,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74489,Próprio-NPago,Sim,Sim,Não,Sim,Sim,Não
74498,Alugado,Sim,Nao,,Sim,Sim,Sim
74580,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74587,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74612,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74646,Cedido-Outros,Sim,Nao,,Sim,Sim,Não
74650,Próprio-Pago,Sim,Nao,,,,
74715,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74726,Próprio-Pago,Sim,Nao,,,,
74730,Próprio-Pago,Sim,Nao,,,,
74767,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74859,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74902,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74924,Próprio-Pago,Sim,Nao,,Sim,Não,Sim
74953,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
74997,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
75115,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
75136,Próprio-Pago,Sim,Nao,,,,
75197,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
75234,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
75464,Cedido-Empregador,Sim,Sim,Sim,Sim,Sim,Sim
75476,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
75479,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
75482,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
75486,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
75490,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
75499,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
75755,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
75769,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
75802,Alugado,Sim,Nao,,,,
75831,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
75990,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
76013,Próprio-Pago,Sim,Sim,Não,Sim,Sim,Não
76361,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
76401,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
76441,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
76452,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
76564,Alugado,Sim,Sim,Sim,Sim,Não,Sim
76643,Próprio-Pago,Sim,Nao,,,,
76649,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
76711,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Não
76796,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
76816,Próprio-Pago,Sim,Sim,Sim,Não,Não,Não
76847,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
76907,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
76915,Próprio-Pago,Nao,Nao,,,,
76922,Próprio-Pago,Sim,Sim,Não,,,
77103,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
77197,Próprio-Pago,Sim,Sim,Não,,,
77246,Cedido-Outros,Sim,Sim,Sim,Sim,Não,Sim
77353,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
77357,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
77363,Alugado,Sim,Sim,Sim,Não,Não,Sim
77364,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
77456,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
77481,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
77494,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
77512,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
77516,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
77518,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
77520,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
77727,Alugado,Sim,Sim,Sim,Sim,Não,Sim
77732,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
77812,Alugado,Sim,Sim,Sim,Não,Não,Sim
77891,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
77940,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
77942,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
77955,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
78077,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
78090,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
78093,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
78099,Alugado,Sim,Sim,Sim,Sim,Sim,Não
78102,Alugado,Sim,Sim,Sim,Sim,Não,Sim
78120,Próprio-Pago,Nao,Nao,,,,
78136,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
78161,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
78217,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
78244,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
78304,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
78319,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
78325,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
78332,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Não
78334,Alugado,Sim,Sim,Sim,Sim,Não,Sim
78336,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
78339,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
78345,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
78478,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
78644,Alugado,Sim,Sim,Não,,,
78677,Alugado,Sim,Sim,Sim,Não,Não,Sim
78679,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
78704,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
78735,Cedido-Outros,Sim,Sim,Sim,Sim,Não,Sim
78792,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
78966,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
78972,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
79012,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
79020,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
79156,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
79348,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
79395,Próprio-Pago,Sim,Nao,,Sim,Não,Sim
79508,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
79565,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
79583,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
79587,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
79660,Próprio-Pago,Sim,Nao,,,,
79763,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
79766,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
79898,Alugado,Sim,Nao,,,,
79920,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
79925,Próprio-NPago,Sim,Nao,,Sim,Sim,Sim
79965,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
80016,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
80067,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
80069,Próprio-Pago,Sim,Sim,Não,Sim,Sim,Não
80070,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
80179,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
80181,Próprio-Pago,Sim,Nao,,,,
80388,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
80546,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
80547,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
80605,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
80626,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
80683,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
80920,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
80950,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81024,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81110,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81116,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81291,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
81293,Alugado,Sim,Sim,Sim,Sim,Não,Sim
81380,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81384,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81392,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
81399,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81402,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81408,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81409,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81459,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81464,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81600,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81612,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81643,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81648,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
81656,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
81713,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81715,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81763,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
81767,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81772,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81774,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81776,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81777,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
81780,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81783,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81786,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81789,Cedido-Outros,Sim,Sim,Sim,Sim,Sim,Sim
81790,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
81792,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
81843,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
81848,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81849,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
81854,Alugado,Sim,Sim,Sim,Sim,Não,Sim
81860,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
81863,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
81864,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81877,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81887,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81890,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81895,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81898,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81899,Próprio-Pago,Sim,Nao,,,,
81901,Próprio-Pago,Sim,Nao,,,,
81902,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
81910,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81917,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81920,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81925,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
81926,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
81927,Alugado,Nao,Sim,Sim,Não,Não,Sim
81937,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81939,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
81950,Alugado,Sim,Sim,Sim,Não,Não,Sim
81970,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
81982,Cedido-Empregador,Sim,Sim,Sim,Sim,Não,Sim
82068,Próprio-Pago,Sim,Nao,,,,
82090,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Não
82091,Próprio-Pago,Sim,Nao,,,,
82101,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
82150,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
82153,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
82167,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
82209,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
82230,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
82233,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
82265,Próprio-Pago,Sim,Nao,,,,
82418,Alugado,Sim,Sim,Sim,Não,Não,Sim
82587,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
