,Ocupação,Celular,Microcomputador,Internet no Comp,Internet no Celular,3G ou 4G,Banda Larga
6011,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
6015,Próprio-NPago,Sim,Nao,,Sim,Sim,Não
6022,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6060,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
6067,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
6073,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
6089,Cedido-Outros,Sim,Nao,,,,
6098,Cedido-Empregador,Sim,Sim,Sim,Não,Sim,Sim
6115,Próprio-Pago,Sim,Nao,,,,
6208,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6242,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
6269,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
6294,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6308,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
6312,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6316,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
6325,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6335,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6347,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6349,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
6370,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6372,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6375,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
6390,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
6417,Próprio-Pago,Sim,Sim,Não,,,
6428,Alugado,Sim,Nao,,,,
6429,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
6430,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
6448,Cedido-Empregador,Sim,Sim,Sim,Sim,Não,Sim
6479,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
